"","subject","Gender","Age","Income","Education","Residence","Country","NativeLanguage","FinancialLiteracy","attention_check_grater_than_3","attention_check_grater_than_2","loi_lower_than_loiX0_33","native_language_is_country_language","frame","response"
"3619","R_2eVZ9Kh5eE4zIjg","Female","23","EGP 5000 - 6700","18","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3620","R_1DUVCkD9r8Qtym5","Male","21","EGP 3400 - 5000","16","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3621","R_1GPRxnL8YhcJ88p","Female","23","EGP 3400 - 5000","18","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",5
"3622","R_2zl13baDnsF3iXY","Female","21","Prefer not to answer","17","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3623","R_2wc539bDXTF0MW8","Female","23","EGP 8400 - 10000","18","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3624","R_6o2cUmFWLg5ywNz","Female","26","More than EGP 10000","17","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3625","R_yX8PVjRx2mwYrE5","Female","23","EGP 3400 - 5000","20","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3626","R_3GeRHOz0hl1Id5i","Female","24","Prefer not to answer","17","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3627","R_3JpW2wjjTc5QEx8","Female","18","Prefer not to answer","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3628","R_0Do2F7dE9yk1NHr","Female","24","EGP 8400 - 10000","17","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",4
"3629","R_24dBRJ2p50EsFWv","Male","45","More than EGP 10000","35","Saudi Arabia","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3630","R_2zuVmw41Qf8YCA2","Female","21","Prefer not to answer","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3631","R_3FVzdmIHTtOxxdf","Male","21","Prefer not to answer","15","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3632","R_1osUQXK5zVP5j51","Male","21","More than EGP 10000","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",2
"3633","R_1GIkOdBl0E8Zdur","Male","21","Prefer not to answer","15","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3634","R_3DiND1Ils9MIlWh","Male","24","Prefer not to answer","17","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Yearly",5
"3635","R_3OiDxYvhWMAQASk","Male","20","EGP 6700 -  8400","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",3
"3636","R_1dcyYbyCbgVxw3g","Male","26","EGP 5000 - 6700","18","Egypt","Egypt","Arabic",3,FALSE,TRUE,FALSE,TRUE,"Yearly",4
"3637","R_129errAi17NvCYr","Male","22","Prefer not to answer","16","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Yearly",3
"3638","R_3phWobnVqxZtPfa","Male","60","EGP 8400 - 10000","35","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3639","R_1MWkB5nnvLGeJ1F","Female","23","EGP 3400 - 5000","16","Egypt","Egypt","Arabic",0,FALSE,FALSE,FALSE,TRUE,"Yearly",4
"3640","R_21aFEwNjzS5FKqD","Male","19","Prefer not to answer","14","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3641","R_2trfl0gP07uBpYZ","Male","18","More than EGP 10000","13","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3642","R_24pmAt5nujQzdCw","Other","19","More than EGP 10000","13","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3643","R_23ZCufyUQeydeFO","Female","22","Less than EGP 3400","5","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",2
"3644","R_8tRGYY7IQon2jfP","Female","21","Prefer not to answer","16","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",3
"3645","R_3RlLmmWta39gjFb","Male","19","More than EGP 10000","13","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Yearly",5
"3646","R_1K3I3FpJiUnjuNP","Female","22","Prefer not to answer","16","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3647","R_0UPRMCLnAMSiwvL","Female","20","Prefer not to answer","16","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",3
"3648","R_2w1zSsKv2iRmxVi","Male","19","Prefer not to answer","14","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3649","R_1YsTXkTLrmAAbE5","Female","21","EGP 8400 - 10000","16","Egypt","Egypt","English",1,TRUE,TRUE,FALSE,FALSE,"Yearly",5
"3650","R_3G3pOFtifPSXoMS","Male","21","More than EGP 10000","17","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3651","R_3JIfYtv4MvexF5j","Prefer not to say","21","EGP 5000 - 6700","15","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",1
"3652","R_1f88828vJixsgbx","Male","22","More than EGP 10000","18","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3653","R_u1VFDaKQe5eFWtr","Female","21","Prefer not to answer","18","Egypt","Egypt","Arabic",4,FALSE,TRUE,FALSE,TRUE,"Yearly",5
"3654","R_2BlZDuCGAJ6niDP","Female","21","EGP 3400 - 5000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3655","R_5uvLvhlHOPVxXPj","Female","23","Prefer not to answer","18","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3656","R_tDQJ1WDncOXJOKd","Male","34","More than EGP 10000","11","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3657","R_2zp7ID1GyQSk6Sh","Female","20","More than EGP 10000","14","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",2
"3658","R_RUGl9zQqBOYGjUR","Female","28","Prefer not to answer","20","Qatar","Egypt","Hebrew",0,FALSE,FALSE,FALSE,FALSE,"Yearly",5
"3659","R_Ai0QIhK3m1EYhMt","Female","30","More than EGP 10000","16","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Yearly",3
"3660","R_UVJf72jEbd0YNTH","Male","24","More than EGP 10000","13","Egypt","Egypt","Arabic",4,FALSE,TRUE,FALSE,TRUE,"Yearly",3
"3661","R_vli85JfyTRqRcSB","Male","25","Prefer not to answer","16","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3662","R_3qmvMTGepcwx1nj","Male","41","More than EGP 10000","18","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3663","R_1r0wSWrmP5uj5a5","Female","21","More than EGP 10000","16","Netherlands","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3664","R_1lxT8oKJcT6Kiob","Male","20","Prefer not to answer","15","Egypt","Egypt","Arabic",4,FALSE,TRUE,FALSE,TRUE,"Yearly",3
"3665","R_1kLF7riF9onN4Lt","Female","23","Less than EGP 3400","16","Egypt","Egypt","English",1,TRUE,TRUE,FALSE,FALSE,"Yearly",4
"3666","R_21gmf9css050IYr","Male","23","More than EGP 10000","2","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",3
"3667","R_2bPE2faaZ5jtfbD","Male","28","More than EGP 10000","20","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",2
"3668","R_1ONNQnEGXZK3EBZ","Male","32","EGP 6700 -  8400","16","Germany","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3669","R_3lWug0IDShYaau8","Male","21","Prefer not to answer","15","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3670","R_tX1mj2OXCK9aY0h","Male","21","Less than EGP 3400","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3671","R_vjMxin2fz626zv3","Male","26","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3672","R_po68KlADyN0SVqx","Female","27","More than EGP 10000","23","United Kingdom of Great Britain and Northern Ireland","Egypt","English",2,TRUE,TRUE,FALSE,FALSE,"Yearly",5
